PROTEIN	CHR	START	TWAS.Z
ANGPTL3	1	62597520	-0.29420
MCL1	1	150560895	 4.64575
MXRA8	1	1352689	-1.17013
PGLYRP3	1	153297116	 0.34658
CD58	1	116514534	 1.05578
REG4	1	119794017	-1.26385
CHI3L1	1	203178931	 0.59994
ANGPTL1	1	178849535	-1.65946
TINAGL1	1	31576485	-3.29433
TBCE	1	235328570	-0.38670
TNR	1	175315194	-0.00362
CREB3L4	1	153967534	 0.80717
AK2	1	33007940	-0.76166
TAGLN2	1	159918107	-0.10931
CRABP2	1	156699606	 0.09827
S100A2	1	153561108	 1.32266
RNPEP	1	201982372	 0.44563
DARS2	1	173824653	-1.10249
CACYBP	1	174999163	-1.02917
PPIH	1	42658335	-0.50876
GLRX2	1	193090866	-1.73342
INPP5B	1	37860697	-5.56999
AHCYL1	1	109984765	 3.96978
NEK7	1	198156994	 1.55527
PTGFRN	1	116909916	-1.83681
S100A6	1	153534599	-0.49506
NEGR1	1	71395943	 0.30543
FH	1	241497511	-0.22997
MAN1C1	1	25616791	-0.72118
NADK	1	1751232	 0.13892
SPSB1	1	9292894	-1.70274
KPNA6	1	32108056	 0.47186
CRYZ	1	74705482	-1.98826
C1QC	1	22643633	-1.29924
S100A4	1	153543613	-2.53505
ISG15	1	1001138	-0.87743
RBP7	1	9997206	-0.00943
CAPN2	1	223701593	 1.02965
CLIC4	1	24745382	-2.14933
GBP1	1	89051882	-0.30154
BOLA1	1	149887890	 4.09736
CTSE	1	206008535	 0.45616
FCGR3A	1	161541759	-0.92172
GSTM1	1	109687814	-0.81688
CFHR1	1	196819731	-1.90937
LEFTY2	1	225936598	 1.08276
LEFTY2	1	225936598	 0.69435
CLSTN1	1	9728926	-1.62281
AMY2B	1	103553815	-1.75591
CR2	1	207454230	 1.21126
FCRLB	1	161721563	 1.60182
CFHR2	1	196943738	 1.57173
IL6R	1	154405193	 3.55663
XCL2	1	168540768	 0.39352
HSPG2	1	21822244	 1.87400
CFHR5	1	196977556	 1.57908
MYOC	1	171635417	-1.65326
APOA1BP	1	156591756	-1.02291
HDGF	1	156742109	 1.07693
SEMA4A	1	156147366	-0.78951
DDOST	1	20651767	-0.24691
GUK1	1	228139962	 0.47889
ADPRHL2	1	36088892	-0.35033
SH3BGRL3	1	26280086	 0.11617
CD46	1	207752054	 0.00497
RHOC	1	112701127	 0.55881
BPNT1	1	220057482	-0.40417
S100A16	1	153606886	 0.45663
AKR7A3	1	19282573	-0.84082
LDLRAP1	1	25543606	-1.78036
GCLM	1	93885199	-0.35617
PSMB4	1	151399560	-0.07984
