GENE	CHR	START	END	BEST.GWAS.ID	BEST.GWAS.Z	NSNP	MODEL	TWAS.Z	TWAS.P
NOC2L	1	944204	959309	rs17160669	-6.09	48	top1	6.08748	1.15e-09
RER1	1	2391775	2405444	rs2235176	7.36	136	blup	-5.30729	1.11e-07
NBL1	1	19640554	19658456	rs880554	-4.85	188	top1	4.84997	1.23e-06
COL16A1	1	31652247	31704319	rs2297684	-6	104	top1	5.70704	1.15e-08
COL8A2	1	36095236	36125220	rs4653160	-8.17	87	lasso	8.17397	2.98e-16
GNL2	1	37566816	37595935	rs4652964	-9.47	152	top1	-5.67569	1.38e-08
SF3A3	1	37956975	37990921	rs4652964	-9.47	164	blup	-5.08263	3.72e-07
PLK3	1	44800225	44805990	rs9429076	-6.95	80	blup	5.04497	4.54e-07
BTBD19	1	44808482	44815585	rs9429076	-6.95	80	top1	4.99112	6e-07
AKR1A1	1	45550543	45570049	rs9429076	-6.95	76	blup	-4.73724	2.17e-06
GPBP1L1	1	45627304	45688113	rs9429076	-6.95	76	blup	5.96335	2.47e-09
RP11-767N6.2	1	45651039	45651826	rs9429076	-6.95	74	top1	-5.39907	6.7e-08
PIK3R3	1	46040140	46133036	rs9429076	-6.95	80	top1	-5.77027	7.91e-09
RP4-784A16.5	1	53328233	53336509	rs808860	8.55	133	blup	-5.52479	3.3e-08
VCAM1	1	100719742	100739045	rs11583008	8.46	126	lasso	-5.28856	1.23e-07
COL11A1	1	102876467	103108496	rs12138977	8.35	105	blup	6.68146	2.37e-11
CAPZA1	1	112619173	112671619	rs3748656	8.79	139	top1	-6.83484	8.21e-12
HIST2H2BD	1	149843041	149843533	rs3738320	5.05	29	top1	-5.04624	4.51e-07
RP11-196G18.23	1	149861271	149862504	rs3738320	5.05	29	top1	-4.8278	1.38e-06
CDC42SE1	1	151050971	151070325	rs6676190	5.65	80	top1	-5.39668	6.79e-08
MLLT11	1	151057758	151068497	rs6676190	5.65	80	top1	5.6543	1.56e-08
RP11-68I18.10	1	151130075	151131610	rs6676190	5.65	79	top1	5.6543	1.56e-08
RP11-126K1.6	1	151346967	151348027	rs6676190	5.65	82	top1	5.06919	4e-07
MSTO1	1	155610205	155614967	rs35902694	-5.94	101	top1	4.91938	8.68e-07
DDR2	1	162631373	162787400	rs17433710	5.42	183	top1	5.42026	5.95e-08
MGST3	1	165630861	165661796	rs7555523	32.87	191	enet	6.15205	7.65e-10
RP11-466F5.8	1	165768929	165775176	rs7555523	32.87	188	top1	32.86598	6.73e-237
TSEN15	1	184051677	184074212	rs1930285	-6.23	137	top1	-5.71091	1.12e-08
LYPLAL1	1	219173844	219212865	rs11118275	-9.15	138	blup	-9.72604	2.34e-22
KRTCAP3	2	27442366	27446481	rs7581912	9.73	100	top1	7.858766	3.88e-15
CCDC88A	2	55287842	55419921	rs11125589	8.31	161	top1	5.15241	2.57e-07
ZNF638	2	71276561	71435069	rs3732233	6.75	159	top1	6.74641	1.52e-11
DYSF	2	71453722	71686768	rs3732233	6.75	146	lasso	5.267082	1.39e-07
FMNL2	2	152335237	152649834	rs3811574	-15.88	160	blup	4.828054	1.38e-06
PRPF40A	2	152651593	152717997	rs3811574	-15.88	156	blup	-8.112127	4.97e-16
GCSHP3	2	206116110	206116500	rs16837000	-7.55	154	top1	7.546455	4.47e-14
CTDSP1	2	218398256	218405941	rs1063281	-8.01	109	blup	4.842744	1.28e-06
COL4A3	2	227164565	227314792	rs7560053	-6.24	158	top1	6.236877	4.46e-10
RP11-400N9.1	2	233351132	233353416	rs706848	-5.87	194	top1	5.787357	7.15e-09
AC104809.4	2	240954617	240967451	rs4234090	-6.74	169	enet	5.471689	4.46e-08
ATG4B	2	241637213	241673857	rs4234090	-6.74	90	blup	5.568854	2.56e-08
ACVR2B	3	38453851	38493142	rs174829	5.11	136	top1	4.899856	9.59e-07
HHATL	3	42692663	42702827	rs3846062	-5.34	110	top1	-5.344344	9.07e-08
FYCO1	3	45917899	45995824	rs1488374	-5.17	137	enet	-5.279742	1.29e-07
CELSR3	3	48636469	48662915	rs6791542	6.46	38	blup	5.766178	8.11e-09
NCKIPSD	3	48673844	48686364	rs6791542	6.46	40	top1	-6.313563	2.73e-10
ARIH2	3	48918821	48986382	rs6791542	6.46	48	top1	6.106354	1.02e-09
P4HTM	3	48989886	49007154	rs6791542	6.46	47	top1	-6.313563	2.73e-10
LAMB2	3	49121114	49133118	rs6791542	6.46	47	blup	6.747001	1.51e-11
CCDC36	3	49198428	49258104	rs6791542	6.46	49	lasso	-5.424987	5.8e-08
MON1A	3	49908862	49930173	rs12629572	7.01	45	top1	7.00908	2.4e-12
U73166.2	3	50260303	50263358	rs12629572	7.01	46	enet	-7.00908	2.4e-12
HYAL1	3	50299889	50312381	rs12629572	7.01	42	enet	6.763628	1.35e-11
CACNA2D2	3	50362799	50504244	rs12629572	7.01	44	top1	-7.00908	2.4e-12
KALRN	3	124080023	124726325	rs6797559	8.7	170	enet	7.066212	1.59e-12
UMPS	3	124730366	124749273	rs6797559	8.7	135	top1	5.873905	4.26e-09
IFT122	3	129440036	129520507	rs2824	6.82	112	enet	-4.775137	1.8e-06
DGKG	3	186105668	186362237	rs6771063	14.09	199	top1	4.937399	7.92e-07
SORCS2	4	7192538	7742836	rs12641498	22.81	318	blup	-6.9024	5.11e-12
USP46-AS1	4	52659406	52661668	rs10517281	-10.37	84	blup	-4.71754	2.39e-06
LAMTOR3	4	99878336	99894490	rs977668	-7.44	124	enet	-5.61386	1.98e-08
DDIT4L	4	100185870	100190782	rs977668	-7.44	121	blup	-5.05061	4.4e-07
MFSD8	4	127917805	127965995	rs17012586	5.44	88	top1	5.43824	5.38e-08
ABHD18	4	127965306	128039711	rs17012586	5.44	89	top1	-5.43824	5.38e-08
CTD-2165H16.4	5	14661808	14664604	rs17251763	-11.349	133	blup	5.48446	4.15e-08
PTCD2	5	72320367	72368395	rs7445013	-7.68	117	lasso	-5.09301	3.52e-07
TNPO1	5	72816312	72916733	rs7445013	-7.68	139	lasso	-5.09301	3.52e-07
KRT8P33	5	123400922	123402344	rs1047440	5.431	160	lasso	-5.43117	5.6e-08
TCF7	5	134114711	134151865	rs247459	6.066	149	lasso	-6.06562	1.31e-09
AC012613.2	5	149216523	149276805	rs17110742	6.32	165	lasso	-6.0456	1.49e-09
EXOC2	6	485133	693111	rs2338	-14.4	166	top1	8.67054	4.3e-18
GMDS	6	1623806	2245692	rs2338	-14.4	267	blup	-4.73102	2.23e-06
GMDS-AS1	6	2245748	2482022	rs2338	-14.4	225	blup	-7.39978	1.36e-13
KCTD20	6	36442767	36491143	rs2145048	9.74	162	enet	-5.2975	1.17e-07
CLIC5	6	45898451	46080395	rs3777594	-9.41	121	enet	8.4096	4.11e-17
AKIRIN2	6	87675072	87702209	rs9344717	5.33	134	enet	-5.3281	9.92e-08
SLC2A12	6	133988697	134052636	rs965652	7.36	168	top1	7.36345	1.79e-13
CYP2W1	7	983199	989640	rs10229964	5.25	132	lasso	-5.02615	5e-07
SEMA3E	7	83363906	83649010	rs12707578	7.69	162	top1	6.33424	2.39e-10
RELN	7	103471784	103989516	rs10241716	6.89	189	blup	-5.48599	4.11e-08
EIF4BP6	7	104667749	104669576	rs10241716	6.89	168	top1	-4.96857	6.74e-07
CAV1	7	116524785	116561184	rs10256914	18.28	99	blup	6.1321	8.67e-10
