GENE	CHR	START	TWAS.Z
SCYL3	1	169849631	2.07219
C1orf112	1	169662007	1.91159
FGR	1	27612064	0.55176
CFH	1	196651878	0.04544
STPG1	1	24356999	2.02862
AK2	1	33007940	-1.81348
KDM1A	1	23019448	-0.92514
ST7L	1	112523518	2.20321
DNAJC11	1	6634168	-0.21587
CSDE1	1	114716913	1.35656
FAM76A	1	27725979	-1.26507
SPRTN	1	231337104	-2.22225
TCEB3	1	23743155	-1.27544
LYPLA2	1	23790970	-0.38639
CLCN6	1	11806096	-0.44088
MTMR11	1	149928651	0.15698
ATP1A2	1	160115759	0.17679
NCDN	1	35557473	-0.4087
GCLM	1	93885205	0.41369
SH2D2A	1	156806243	-0.04785
LRRC7	1	69568398	1.46001
ADSS	1	244408494	0.67621
PQLC2	1	19312326	0.70552
THAP3	1	6624866	0.99426
USH2A	1	215622894	0.96658
VPS13D	1	12230067	-1.95504
H6PD	1	9234775	0.37131
VAMP3	1	7771269	-0.2475
PER3	1	7784320	-1.58189
PTGER3	1	70852353	0.16743
SIKE1	1	114769479	2.19557
TRAPPC3	1	36136570	3.60572
THRAP3	1	36224416	-1.81826
ARID4B	1	235131634	0.08937
OPN3	1	241590102	1.15687
SDCCAG8	1	243256034	-0.69019
HHAT	1	210328252	-2.03541
SOAT1	1	179293714	-1.80037
ATP2B4	1	203626561	-2.0287
ZC3H11A	1	203795654	-2.946
YIPF1	1	53851719	-3.93623
NDC1	1	53765460	-1.10992
TARBP1	1	234391313	-0.77908
PIGV	1	26787472	2.58902
PTPRU	1	29236516	0.19418
COL11A1	1	102876467	6.68146
DDX20	1	111755245	-0.10905
CHI3L2	1	111200771	2.25701
SPEN	1	15847864	0.39713
TMEM206	1	212363931	-1.84149
PPP2R5A	1	212285537	-1.48649
TIE1	1	43300993	-1.922
KDM4A	1	43650158	-0.4614
ZMYND12	1	42430329	0.17931
ELOVL1	1	43363397	0.36864
DNTTIP2	1	93866283	1.89132
RRP15	1	218285287	1.35102
IARS2	1	220094102	-0.91443
NUP133	1	229440260	-1.75781
KCNAB2	1	5991466	0.18227
KIAA1107	1	92167857	3.46877
HES2	1	6412418	-1.57267
TESK2	1	45343883	3.72364
EIF2B3	1	44850522	-3.20607
CDC42	1	22052627	-1.25511
EPHA8	1	22563564	1.04234
FCGR2B	1	161663147	1.75247
ENO1	1	8861002	-0.44264
ARHGEF10L	1	17539835	-1.08647
FMO4	1	171314208	-0.51993
PLXNA2	1	208022242	1.14414
RAP1GAP	1	21596215	2.01368
PPP1R12B	1	202348699	-0.05067
ACTN2	1	236686454	1.92551
CAPZB	1	19338776	1.92046
SDF4	1	1216908	0.77855
MKNK1	1	46557408	-3.50983
CDC14A	1	100345025	-1.35018
PGM1	1	63593276	2.43394
RSBN1	1	113761832	1.14241
