PROTEIN	CHR	START	END	BEST.GWAS.ID	BEST.GWAS.Z	NSNP	MODEL	TWAS.Z	TWAS.P
EPHA10	1	37713880	37765133	rs4308943	-4.684	4	enet	-5.02215	5.11e-07
INPP5B	1	37860697	37947057	rs34655914	-7.955	14	enet	-5.56999	2.55e-08
MCL1	1	150560895	150579738	rs6665912	-4.236	8	enet	 4.64575	3.39e-06
ERLEC1	2	53787044	53818819	rs2692523	 5.199	8	enet	-4.1840	2.86e-05
CADM2	3	84958989	86074429	rs1248825	 8.285	3	enet	-6.06774	1.3e-09
ADIPOQ	3	186842704	186858463	rs17366653	-7.130	8	enet	 5.83556	5.36e-09
DAPP1	4	99816827	99870190	rs4076281	 5.852	15	enet	-5.6156	1.96e-08
NDST1	5	150485818	150558211	rs11746198	 4.643	9	enet	 4.6009	4.21e-06
SEMA3E	7	83363238	83649139	rs42019	 7.296679	14	enet	 6.582452	4.63e-11
OBP2B	9	133205277	133209250	rs6597610	 5.989	5	enet	-4.9817	6.3e-07
ABO	9	133233278	133276024	rs8176746	11.030	5	enet	11.0069	3.54e-28
ADAMTS13	9	133414358	133459402	rs2491	-3.358	6	enet	-4.3617	1.29e-05
FAM213A	10	80407829	80437115	rs6585994	-4.473	6	top1	-4.4727	7.72e-06
ARHGAP1	11	46677080	46700619	rs11038977	 8.483	3	enet	-8.6687	4.37e-18
F2	11	46719196	46739506	rs2306036	 9.028	3	enet	 8.3731	5.61e-17
LRP4	11	46856717	46918642	rs10838660	 9.584	12	enet	 6.5402	6.14e-11
GNPNAT1	14	52775193	52791668	rs10483619	-8.152	11	enet	-4.9996	5.74e-07
SEMA7A	15	74409289	74433958	rs9944214	-9.040	4	enet	-8.4406	3.16e-17
NPW	16	2009926	2020755	rs8059880	 4.725	11	enet	-5.2686	1.37e-07
NQO1	16	69706996	69726668	rs12595869	 4.276	6	enet	-4.1389	3.49e-05
CNP	17	41966763	41977740	rs6503679	-4.781	14	enet	 4.5110	6.45e-06
P4HB	17	81843159	81860856	rs2228309	-4.636	1	top1	-4.6361	3.55e-06
FASN	17	82078338	82098294	rs9905991	 4.570	1	enet	-4.5696	4.89e-06
ELANE	19	851014	856247	rs3180287	-7.925	6	enet	 7.1587	8.14e-13
KREMEN1	22	29073035	29168333	rs1033667	-14.827	19	enet	 6.1459	7.95e-10
TIMP3	22	32801705	32863041	rs2413151	 -5.585	17	enet	-5.3355	9.53e-08
