BETA	MAF	P	study	gene
1.509	8.831e-05	8.936e-06	WGS rare variants 1e-5	ADAM9
0.1091	0.48	2.28e-19	MTAG 5e-8	AFAP1
0.9127	0.0002245	0.0004388	common genes	AKAP6
-0.158	0.00775126280356848	1.102e-07	WGS rare variants 1e-5	ANGPTL7
0.74	0.00311183600713013	8.388e-06	WGS rare variants 1e-5	ANKFY1
1.72088325009988	0.00133980862206254	1.87374287648646e-36	WGS rare variants 1e-7	MYOC
-0.5652	0.0017	0.0004403	common genes	NXN
-0.2748	0.13	1.78e-253	MTAG 5e-8	TMCO1
-0.5272	0.0025	4.218e-05	common genes	TMEM151A
0.948043378892843	1.94649613001178e-05	4.01805373349735e-07	WGS rare variants 5e-4	no
1.54044100180432	1.63059872867652e-05	2.2457113145838e-06	WGS rare variants 5e-4	no
1.09181486207343	5.16356264080899e-05	2.73392838650974e-06	WGS rare variants 5e-4	no
0.980232235315327	7.33779398735725e-05	3.07810991151432e-06	WGS rare variants 5e-4	no
1.68938713316329	6.7949000198411e-06	3.61559877972661e-06	WGS rare variants 5e-4	no
0.585133199738939	0.000194313543246313	3.65825040114019e-06	WGS rare variants 5e-4	no
1.47130149958638	1.76757238888768e-05	3.76467416959385e-06	WGS rare variants 5e-4	no
1.19048974155134	4.07649682169131e-05	3.76862140552815e-06	WGS rare variants 5e-4	no
0.920204769201438	7.60952277421458e-05	4.05532740158728e-06	WGS rare variants 5e-4	no
1.28970028068219	2.44591803456897e-05	4.69144198206133e-06	WGS rare variants 5e-4	no
0.814909811458314	0.000105988917363974	4.69555024576571e-06	WGS rare variants 5e-4	no
1.69294765931644	6.79421676269159e-06	5.38730699495815e-06	WGS rare variants 5e-4	no
1.0516372018026	4.21238004908102e-05	5.490375111537e-06	WGS rare variants 5e-4	no
1.70024276291108	2.71796739526312e-06	5.55215913439766e-06	WGS rare variants 5e-4	no
0.989542895966276	6.52681159814421e-05	6.42660334677023e-06	WGS rare variants 5e-4	no
0.939698541607298	6.25062845992667e-05	7.49875722936737e-06	WGS rare variants 5e-4	no
1.43990794345489	1.76648195606623e-05	7.59306962734775e-06	WGS rare variants 5e-4	no
1.02704696337245	5.17168637805027e-05	8.21319888967168e-06	WGS rare variants 5e-4	no
1.38587079345993	1.35886181734179e-05	8.38636649085881e-06	WGS rare variants 5e-4	no
0.824993085918333	0.000105999864102738	8.51454571517542e-06	WGS rare variants 5e-4	no
1.41120394322597	1.49471550128681e-05	8.77925326003706e-06	WGS rare variants 5e-4	no
1.11818610913294	4.48430493273542e-05	8.82692194182211e-06	WGS rare variants 5e-4	no
1.30770919085401	3.53303112328648e-05	8.96907802396498e-06	WGS rare variants 5e-4	no
0.290650542158554	0.000335631571652584	9.50869160828936e-06	WGS rare variants 5e-4	no
1.18039936356498	4.21362823294024e-05	9.61159258839159e-06	WGS rare variants 5e-4	no
0.0464	0.1686	2.331e-12	MTAG 5e-8	no
0.0362	0.1596	2.406e-08	MTAG 5e-8	no
0.0323	0.2539	4.722e-08	MTAG 5e-8	no
0.038	0.3813	3.535e-14	MTAG 5e-8	no
-0.0288	0.4897	8.15e-09	MTAG 5e-8	no
-0.065	0.4791	6.637e-29	MTAG 5e-8	no
0.0652	0.3163	2.503e-31	MTAG 5e-8	no
0.0309	0.2828	2.936e-08	MTAG 5e-8	no
-0.0655	0.08615	4.368e-13	MTAG 5e-8	no
0.0307	0.4474	7.717e-10	MTAG 5e-8	no
-0.0318	0.2554	1.509e-08	MTAG 5e-8	no
0.0596	0.2402	9.485e-25	MTAG 5e-8	no
0.0675	0.1346	1.056e-09	MTAG 5e-8	no
0.0688	0.1284	2.783e-09	MTAG 5e-8	no
-0.0797	0.02973	3.893e-08	MTAG 5e-8	no
0.0441	0.3783	1.097e-17	MTAG 5e-8	no
-0.03	0.3462	3.368e-09	MTAG 5e-8	no
-0.0385	0.1688	1.444e-09	MTAG 5e-8	no
-0.0689	0.0666	8.04e-10	MTAG 5e-8	no
0.0513	0.1851	9.765e-16	MTAG 5e-8	no
0.031	0.3352	2.503e-09	MTAG 5e-8	no
-0.0438	0.4046	3.847e-18	MTAG 5e-8	no
0.0726	0.1036	1.116e-17	MTAG 5e-8	no
-0.098	0.009236	1.376e-08	MTAG 5e-8	no
0.0601	0.1027	2.773e-12	MTAG 5e-8	no
-0.0818	0.07922	6.811e-17	MTAG 5e-8	no
-0.035	0.3204	4.395e-10	MTAG 5e-8	no
-0.0842	0.03829	2.276e-10	MTAG 5e-8	no
0.0411	0.4474	1.379e-16	MTAG 5e-8	no
0.0606	0.06233	9.559e-11	MTAG 5e-8	no
-0.0607	0.1538	9.931e-19	MTAG 5e-8	no
0.032	0.3161	1.762e-08	MTAG 5e-8	no
-0.0477	0.1146	6.686e-11	MTAG 5e-8	no
0.0328	0.3367	3.332e-08	MTAG 5e-8	no
-0.0603	0.1901	4.406e-21	MTAG 5e-8	no
-0.0424	0.1193	6.805e-09	MTAG 5e-8	no
